1 1.66533e-16 1.66533e-16
2 0 5.12411e-16
4 4.36468e-16 0
8 1.99462e-16 1.39623e-15
16 7.60607e-16 1.90152e-15
32 7.42079e-16 6.67871e-15
64 1.8321e-15 2.38173e-14
128 3.45908e-15 2.01173e-13
256 5.26294e-15 4.58602e-13
512 7.61009e-15 9.25532e-13
1024 1.19492e-14 6.70315e-12
2048 2.17172e-14 3.13162e-12
4096 4.66827e-14 3.64885e-11
8192 4.48689e-14 5.31819e-11
16384 6.02443e-14 2.36651e-10
32768 1.15601e-13 7.16738e-10
65536 1.22293e-13 7.64153e-10
131072 1.30795e-13 1.07005e-08
262144 2.20885e-13 1.18119e-08
524288 2.1582e-13 5.74136e-09
