-4 0 0.0002519751 -0.001425382 0.005523363 -0.0168754
-3.9 0 0.0003740271 -0.002062922 0.007780913 -0.0230927
-3.8 0 0.0005496751 -0.002953962 0.01083643 -0.03121
-3.7 0 0.0007997731 -0.004184882 0.01491853 -0.0416526
-3.6 0 0.001152081 -0.005865462 0.0203013 -0.0548834
-3.5 0 0.001643081 -0.008132832 0.02730313 -0.0713846
-3.4 0 0.002320011 -0.01115542 0.03628783 -0.0916298
-3.3 0 0.003243241 -0.01513592 0.04765513 -0.116045
-3.2 0 0.004488741 -0.02031372 0.06182993 -0.144962
-3.1 0 0.006150741 -0.02696522 0.0792433 -0.178558
-3 0 0.008344251 -0.03540172 0.1003053 -0.21679
-2.9 0 0.01120741 -0.04596392 0.1253713 -0.259328
-2.8 0 0.01490321 -0.05901352 0.15473 -0.305488
-2.7 0 0.01962051 -0.07491832 0.1884063 -0.354177
-2.6 0 0.02557391 -0.09403412 0.2264053 -0.403855
-2.5 0 0.03300221 -0.116682 0.2683653 -0.452528
-2.4 0 0.04216431 -0.143112 0.313653 -0.497777
-2.3 0 0.05333391 -0.1734792 0.3612893 -0.536834
-2.2 0 0.06679131 -0.2078062 0.4099443 -0.566707
-2.1 0 0.0828121 -0.2459392 0.4579153 -0.584352
-2 0 0.1016541 -0.287522 0.5031613 -0.586898
-1.9 0 0.1235411 -0.3319552 0.5433583 -0.571895
-1.8 0 0.1486471 -0.3783932 0.5759983 -0.537584
-1.7 0 0.1770751 -0.4257172 0.5985083 -0.483159
-1.6 0 0.2088411 -0.4725532 0.6084123 -0.408988
-1.5 0 0.2438551 -0.5172942 0.603513 -0.316777
-1.4 0 0.2819061 -0.5581452 0.5820653 -0.209633
-1.3 0 0.3226521 -0.5931882 0.5429953 -0.0920238
-1.2 0 0.3656121 -0.6204642 0.486033 0.0303964
-1.1 0 0.410171 -0.6380752 0.4118493 0.151086
-1 0 0.4555811 -0.6442882 0.3221443 0.26303
-0.9 0 0.5009831 -0.6376482 0.2196343 0.35924
-0.8 0 0.5454291 -0.6170832 0.1079893 0.433307
-0.7 0 0.5879091 -0.5820012 -0.008314293 0.479954
-0.6 0 0.6273931 -0.532362 -0.1242173 0.495524
-0.5 0 0.6628661 -0.4687172 -0.2343593 0.478382
-0.4 0 0.6933761 -0.3922332 -0.3333983 0.429144
-0.3 0 0.7180741 -0.3046532 -0.4163593 0.350735
-0.2 0 0.7362521 -0.2082442 -0.478963 0.248244
-0.1 0 0.7473791 -0.1056952 -0.5179073 0.128587
2.41474e-15 0 0.7511261 2.56506e-152 -0.5311263 -3.14154e-15
0.1 0 0.7473791 0.1056952 -0.5179073 -0.128587
0.2 0 0.7362521 0.2082442 -0.478963 -0.248244
0.3 0 0.7180741 0.3046532 -0.4163593 -0.350735
0.4 0 0.6933761 0.3922332 -0.3333983 -0.429144
0.5 0 0.6628661 0.4687172 -0.2343593 -0.478382
0.6 0 0.6273931 0.532362 -0.1242173 -0.495524
0.7 0 0.5879091 0.5820012 -0.008314293 -0.479954
0.8 0 0.5454291 0.6170832 0.1079893 -0.433307
0.9 0 0.5009831 0.6376482 0.2196343 -0.35924
1 0 0.4555811 0.6442882 0.3221443 -0.26303
1.1 0 0.410171 0.6380752 0.4118493 -0.151086
1.2 0 0.3656121 0.6204642 0.486033 -0.0303964
1.3 0 0.3226521 0.5931882 0.5429953 0.0920238
1.4 0 0.2819061 0.5581452 0.5820653 0.209633
1.5 0 0.2438551 0.5172942 0.603513 0.316777
1.6 0 0.2088411 0.4725532 0.6084123 0.408988
1.7 0 0.1770751 0.4257172 0.5985083 0.483159
1.8 0 0.1486471 0.3783932 0.5759983 0.537584
1.9 0 0.1235411 0.3319552 0.5433583 0.571895
2 0 0.1016541 0.287522 0.5031613 0.586898
2.1 0 0.0828121 0.2459392 0.4579153 0.584352
2.2 0 0.06679131 0.2078062 0.4099443 0.566707
2.3 0 0.05333391 0.1734792 0.3612893 0.536834
2.4 0 0.04216431 0.143112 0.313653 0.497777
2.5 0 0.03300221 0.116682 0.2683653 0.452528
2.6 0 0.02557391 0.09403412 0.2264053 0.403855
2.7 0 0.01962051 0.07491832 0.1884063 0.354177
2.8 0 0.01490321 0.05901352 0.15473 0.305488
2.9 0 0.01120741 0.04596392 0.1253713 0.259328
3 0 0.008344251 0.03540172 0.1003053 0.21679
3.1 0 0.006150741 0.02696522 0.0792433 0.178558
3.2 0 0.004488741 0.02031372 0.06182993 0.144962
3.3 0 0.003243241 0.01513592 0.04765513 0.116045
3.4 0 0.002320011 0.01115542 0.03628783 0.0916298
3.5 0 0.001643081 0.008132832 0.02730313 0.0713846
3.6 0 0.001152081 0.005865462 0.0203013 0.0548834
3.7 0 0.0007997731 0.004184882 0.01491853 0.0416526
3.8 0 0.0005496751 0.002953962 0.01083643 0.03121
3.9 0 0.0003740271 0.002062922 0.007780913 0.0230927
